Order_ID,Hotel_Name,City,Dish_Name,Category,Variant,Base_Price,Packing_Charge,Total_Price,Packed_Status,Food_Rating
1,Thakur Chiefs,Himachal Pradesh,Baingan Bharta,Veg,Half,116,0,116,Unpacked,3.5
2,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Half,150,50,200,Packed,4.2
3,Thakur Chiefs,Himachal Pradesh,Mix Veg Curry,Veg,Full,496,50,546,Packed,1.3
4,Thakur Chiefs,Himachal Pradesh,Egg Curry,Non-Veg,Full,437,50,487,Packed,0.6
5,Thakur Chiefs,Himachal Pradesh,Chole Bhature,Veg,Full,529,0,529,Unpacked,3.6
6,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Half,150,0,150,Unpacked,3.2
7,Thakur Chiefs,Himachal Pradesh,Chicken Lollipop,Non-Veg,Full,429,50,479,Packed,3.3
8,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Full,516,50,566,Packed,4.2
9,Thakur Chiefs,Himachal Pradesh,Dal Makhani,Veg,Half,124,0,124,Unpacked,5.9
10,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Half,289,50,339,Packed,2.3
11,Thakur Chiefs,Himachal Pradesh,Tandoori Roti,Veg,Full,452,50,502,Packed,2.2
12,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Full,264,50,314,Packed,3.7
13,Thakur Chiefs,Himachal Pradesh,Veg Biryani,Veg,Half,165,50,215,Packed,2.8
14,Thakur Chiefs,Himachal Pradesh,Malai Kofta,Veg,Half,316,0,316,Unpacked,5.1
15,Thakur Chiefs,Himachal Pradesh,Egg Curry,Non-Veg,Half,262,50,312,Packed,4.9
16,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Full,251,0,251,Unpacked,1.6
17,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Full,264,50,314,Packed,3.9
18,Thakur Chiefs,Himachal Pradesh,Matar Paneer,Veg,Full,429,50,479,Packed,1.6
19,Thakur Chiefs,Himachal Pradesh,Palak Paneer,Veg,Full,221,0,221,Unpacked,5.4
20,Thakur Chiefs,Himachal Pradesh,Matar Paneer,Veg,Full,429,50,479,Packed,6.0
21,Thakur Chiefs,Himachal Pradesh,Rajma Chawal,Veg,Full,290,50,340,Packed,4.5
22,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Half,289,50,339,Packed,3.8
23,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Full,251,50,301,Packed,2.3
24,Thakur Chiefs,Himachal Pradesh,Chicken Tikka Masala,Non-Veg,Full,261,0,261,Unpacked,5.8
25,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Half,289,50,339,Packed,4.1
26,Thakur Chiefs,Himachal Pradesh,Chicken Biryani,Non-Veg,Full,165,0,165,Unpacked,0.7
27,Thakur Chiefs,Himachal Pradesh,Baingan Bharta,Veg,Half,116,0,116,Unpacked,0.0
28,Thakur Chiefs,Himachal Pradesh,Mutton Biryani,Non-Veg,Full,163,50,213,Packed,3.0
29,Thakur Chiefs,Himachal Pradesh,Chole Bhature,Veg,Full,529,50,579,Packed,0.9
30,Thakur Chiefs,Himachal Pradesh,Egg Curry,Non-Veg,Half,262,50,312,Packed,3.6
31,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Half,219,50,269,Packed,5.6
32,Thakur Chiefs,Himachal Pradesh,Mutton Curry,Non-Veg,Full,509,50,559,Packed,0.3
33,Thakur Chiefs,Himachal Pradesh,Mutton Curry,Non-Veg,Half,305,50,355,Packed,4.4
34,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Half,309,50,359,Packed,0.8
35,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Half,219,0,219,Unpacked,3.2
36,Thakur Chiefs,Himachal Pradesh,Chicken Tikka Masala,Non-Veg,Full,261,50,311,Packed,5.6
37,Thakur Chiefs,Himachal Pradesh,Egg Curry,Non-Veg,Half,262,0,262,Unpacked,2.4
38,Thakur Chiefs,Himachal Pradesh,Fish Curry,Non-Veg,Full,408,0,408,Unpacked,5.4
39,Thakur Chiefs,Himachal Pradesh,Tandoori Roti,Veg,Half,271,50,321,Packed,1.3
40,Thakur Chiefs,Himachal Pradesh,Mix Veg Curry,Veg,Half,297,50,347,Packed,3.5
41,Thakur Chiefs,Himachal Pradesh,Paneer Butter Masala,Veg,Half,286,50,336,Packed,1.4
42,Thakur Chiefs,Himachal Pradesh,Mutton Curry,Non-Veg,Half,305,0,305,Unpacked,0.4
43,Thakur Chiefs,Himachal Pradesh,Palak Paneer,Veg,Full,221,0,221,Unpacked,1.3
44,Thakur Chiefs,Himachal Pradesh,Rajma Chawal,Veg,Full,290,50,340,Packed,4.7
45,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Full,251,50,301,Packed,0.6
46,Thakur Chiefs,Himachal Pradesh,Fish Curry,Non-Veg,Full,408,0,408,Unpacked,2.5
47,Thakur Chiefs,Himachal Pradesh,Tandoori Roti,Veg,Half,271,50,321,Packed,0.4
48,Thakur Chiefs,Himachal Pradesh,Mutton Biryani,Non-Veg,Full,163,50,213,Packed,1.5
49,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Full,264,50,314,Packed,2.5
